I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.054,-0.065,-0.011,,,,,,,,,
-0.057,-0.064,-0.007,,,,,,,,,
-0.065,-0.068,-0.003,,,,,,,,,
-0.06,-0.059,0.0,,,,,,,,,
-0.03,-0.025,0.005,,,,,,,,,
-0.011,0.002,0.014,,,,,,,,,
0.061,0.039,-0.022,,,,,,,,,
0.153,0.08,-0.073,,,,,,,,,
0.238,0.12,-0.118,,,,,,,,,
0.33,0.17,-0.16,,,,,,,,,
0.401,0.249,-0.153,,,,,,,,,
0.483,0.332,-0.151,,,,,,,,,
0.545,0.421,-0.124,,,,,,,,,
0.578,0.51,-0.067,,,,,,,,,
0.6,0.58,-0.02,,,,,,,,,
0.588,0.635,0.047,,,,,,,,,
0.547,0.695,0.148,,,,,,,,,
0.507,0.72,0.213,,,,,,,,,
0.46,0.743,0.283,,,,,,,,,
0.395,0.79,0.395,,,,,,,,,
0.357,0.729,0.372,,,,,,,,,
0.323,0.669,0.345,,,,,,,,,
0.271,0.564,0.293,,,,,,,,,
0.183,0.391,0.208,,,,,,,,,
0.085,0.25,0.165,,,,,,,,,
0.066,0.184,0.118,,,,,,,,,
0.018,0.118,0.1,,,,,,,,,
-0.021,0.078,0.099,,,,,,,,,
-0.02,0.074,0.094,,,,,,,,,
-0.025,0.065,0.09,,,,,,,,,
-0.025,0.057,0.082,,,,,,,,,
-0.027,0.049,0.077,,,,,,,,,
-0.032,0.041,0.073,,,,,,,,,
-0.036,0.033,0.069,,,,,,,,,
-0.04,0.025,0.065,,,,,,,,,
-0.048,0.017,0.065,,,,,,,,,
-0.056,0.009,0.065,,,,,,,,,
-0.064,0.001,0.065,,,,,,,,,
-0.072,-0.007,0.065,,,,,,,,,
-0.08,-0.015,0.065,,,,,,,,,
-0.084,-0.023,0.061,,,,,,,,,
-0.092,-0.032,0.06,,,,,,,,,
-0.094,-0.034,0.06,,,,,,,,,
-0.089,-0.029,0.06,,,,,,,,,
-0.09,-0.03,0.06,,,,,,,,,
-0.091,-0.03,0.06,,,,,,,,,
-0.086,-0.029,0.057,,,,,,,,,
-0.089,-0.034,0.055,,,,,,,,,
-0.104,-0.05,0.054,,,,,,,,,
-0.115,-0.065,0.05,,,,,,,,,
-0.116,-0.066,0.05,,,,,,,,,
-0.112,-0.065,0.047,,,,,,,,,
-0.11,-0.065,0.045,,,,,,,,,
-0.109,-0.065,0.044,,,,,,,,,
-0.105,-0.065,0.04,,,,,,,,,
-0.105,-0.065,0.04,,,,,,,,,
-0.106,-0.065,0.041,,,,,,,,,
-0.103,-0.065,0.038,,,,,,,,,
-0.1,-0.065,0.035,,,,,,,,,
-0.1,-0.065,0.035,,,,,,,,,
-0.096,-0.065,0.031,,,,,,,,,
-0.095,-0.065,0.03,,,,,,,,,
-0.093,-0.065,0.028,,,,,,,,,
-0.09,-0.065,0.025,,,,,,,,,
-0.09,-0.065,0.025,,,,,,,,,
-0.086,-0.065,0.021,,,,,,,,,
-0.084,-0.065,0.019,,,,,,,,,
-0.086,-0.065,0.021,,,,,,,,,
-0.084,-0.065,0.019,,,,,,,,,
-0.08,-0.065,0.015,,,,,,,,,
-0.08,-0.065,0.015,,,,,,,,,
-0.08,-0.065,0.015,,,,,,,,,
-0.08,-0.065,0.015,,,,,,,,,
-0.08,-0.065,0.015,,,,,,,,,
-0.08,-0.065,0.015,,,,,,,,,
-0.08,-0.065,0.015,,,,,,,,,
-0.078,-0.063,0.015,,,,,,,,,
-0.088,-0.073,0.015,,,,,,,,,
-0.101,-0.086,0.015,,,,,,,,,
-0.095,-0.08,0.015,,,,,,,,,
-0.095,-0.08,0.015,,,,,,,,,
-0.093,-0.077,0.016,,,,,,,,,
-0.087,-0.074,0.013,,,,,,,,,
-0.085,-0.075,0.01,,,,,,,,,
-0.085,-0.075,0.01,,,,,,,,,
-0.081,-0.071,0.01,,,,,,,,,
-0.08,-0.07,0.01,,,,,,,,,
-0.078,-0.068,0.01,,,,,,,,,
-0.074,-0.064,0.01,,,,,,,,,
-0.075,-0.065,0.01,,,,,,,,,
-0.075,-0.065,0.01,,,,,,,,,
-0.072,-0.062,0.01,,,,,,,,,
-0.069,-0.059,0.01,,,,,,,,,
-0.07,-0.06,0.01,,,,,,,,,
-0.07,-0.06,0.01,,,,,,,,,
-0.066,-0.056,0.01,,,,,,,,,
-0.061,-0.054,0.007,,,,,,,,,
-0.06,-0.056,0.005,,,,,,,,,
-0.058,-0.054,0.004,,,,,,,,,
-0.05,-0.05,0.0,,,,,,,,,
-0.049,-0.05,0.0,,,,,,,,,
-0.051,-0.051,0.001,,,,,,,,,
-0.046,-0.048,-0.002,,,,,,,,,
-0.039,-0.045,-0.005,,,,,,,,,
-0.04,-0.045,-0.005,,,,,,,,,
-0.036,-0.045,-0.009,,,,,,,,,
-0.031,-0.042,-0.011,,,,,,,,,
-0.03,-0.039,-0.009,,,,,,,,,
-0.029,-0.04,-0.011,,,,,,,,,
-0.025,-0.04,-0.015,,,,,,,,,
-0.021,-0.036,-0.015,,,,,,,,,
-0.017,-0.034,-0.018,,,,,,,,,
-0.015,-0.035,-0.021,,,,,,,,,
-0.015,-0.034,-0.02,,,,,,,,,
-0.01,-0.03,-0.02,,,,,,,,,
-0.001,-0.026,-0.024,,,,,,,,,
0.0,-0.025,-0.026,,,,,,,,,
0.001,-0.024,-0.025,,,,,,,,,
0.007,-0.019,-0.026,,,,,,,,,
0.015,-0.015,-0.03,,,,,,,,,
0.018,-0.016,-0.034,,,,,,,,,
0.029,-0.01,-0.039,,,,,,,,,
0.039,-0.001,-0.04,,,,,,,,,
0.048,0.007,-0.041,,,,,,,,,
0.06,0.015,-0.045,,,,,,,,,
0.068,0.023,-0.045,,,,,,,,,
0.076,0.031,-0.045,,,,,,,,,
0.082,0.037,-0.045,,,,,,,,,
0.086,0.041,-0.045,,,,,,,,,
0.09,0.045,-0.045,,,,,,,,,
0.09,0.045,-0.044,,,,,,,,,
0.095,0.044,-0.051,,,,,,,,,
0.104,0.047,-0.058,,,,,,,,,
0.112,0.05,-0.061,,,,,,,,,
0.115,0.05,-0.065,,,,,,,,,
0.115,0.05,-0.065,,,,,,,,,
0.118,0.053,-0.065,,,,,,,,,
0.121,0.055,-0.065,,,,,,,,,
0.12,0.055,-0.065,,,,,,,,,
0.12,0.055,-0.065,,,,,,,,,
0.119,0.054,-0.065,,,,,,,,,
0.126,0.061,-0.065,,,,,,,,,
0.132,0.067,-0.065,,,,,,,,,
0.137,0.072,-0.065,,,,,,,,,
0.145,0.08,-0.065,,,,,,,,,
0.141,0.076,-0.065,,,,,,,,,
0.139,0.075,-0.064,,,,,,,,,
0.14,0.073,-0.067,,,,,,,,,
0.14,0.07,-0.07,,,,,,,,,
0.14,0.07,-0.07,,,,,,,,,
0.136,0.066,-0.07,,,,,,,,,
0.135,0.065,-0.07,,,,,,,,,
0.133,0.063,-0.07,,,,,,,,,
0.13,0.06,-0.07,,,,,,,,,
0.13,0.06,-0.07,,,,,,,,,
0.126,0.056,-0.07,,,,,,,,,
0.125,0.055,-0.07,,,,,,,,,
0.123,0.053,-0.07,,,,,,,,,
0.12,0.05,-0.07,,,,,,,,,
0.12,0.05,-0.07,,,,,,,,,
0.116,0.046,-0.071,,,,,,,,,
0.11,0.045,-0.064,,,,,,,,,
0.099,0.042,-0.057,,,,,,,,,
0.087,0.033,-0.054,,,,,,,,,
0.075,0.025,-0.05,,,,,,,,,
0.067,0.021,-0.046,,,,,,,,,
0.057,0.015,-0.042,,,,,,,,,
0.043,0.006,-0.038,,,,,,,,,
0.033,-0.001,-0.035,,,,,,,,,
0.03,-0.005,-0.035,,,,,,,,,
0.026,-0.009,-0.035,,,,,,,,,
0.022,-0.013,-0.035,,,,,,,,,
0.018,-0.017,-0.035,,,,,,,,,
0.014,-0.021,-0.035,,,,,,,,,
0.01,-0.025,-0.035,,,,,,,,,
0.005,-0.03,-0.035,,,,,,,,,
0.006,-0.029,-0.035,,,,,,,,,
0.002,-0.033,-0.035,,,,,,,,,
-0.006,-0.041,-0.035,,,,,,,,,
-0.01,-0.045,-0.035,,,,,,,,,
-0.014,-0.049,-0.035,,,,,,,,,
-0.014,-0.049,-0.035,,,,,,,,,
-0.018,-0.053,-0.035,,,,,,,,,
-0.027,-0.062,-0.035,,,,,,,,,
-0.03,-0.065,-0.035,,,,,,,,,
-0.034,-0.069,-0.035,,,,,,,,,
-0.036,-0.071,-0.035,,,,,,,,,
-0.034,-0.069,-0.035,,,,,,,,,
-0.036,-0.071,-0.035,,,,,,,,,
-0.04,-0.075,-0.035,,,,,,,,,
-0.04,-0.075,-0.035,,,,,,,,,
-0.039,-0.074,-0.035,,,,,,,,,
-0.042,-0.077,-0.035,,,,,,,,,
-0.045,-0.08,-0.035,,,,,,,,,
-0.045,-0.08,-0.035,,,,,,,,,
-0.045,-0.08,-0.035,,,,,,,,,
-0.042,-0.08,-0.038,,,,,,,,,
-0.039,-0.08,-0.041,,,,,,,,,
-0.04,-0.08,-0.04,,,,,,,,,
-0.04,-0.08,-0.04,,,,,,,,,
-0.04,-0.08,-0.04,,,,,,,,,
-0.04,-0.083,-0.043,,,,,,,,,
-0.04,-0.086,-0.046,,,,,,,,,
-0.04,-0.085,-0.045,,,,,,,,,
-0.04,-0.085,-0.045,,,,,,,,,
-0.04,-0.085,-0.045,,,,,,,,,
-0.041,-0.085,-0.044,,,,,,,,,
-0.038,-0.085,-0.047,,,,,,,,,
-0.035,-0.085,-0.05,,,,,,,,,
-0.035,-0.085,-0.05,,,,,,,,,
-0.035,-0.085,-0.05,,,,,,,,,
-0.035,-0.085,-0.05,,,,,,,,,
-0.035,-0.085,-0.05,,,,,,,,,
-0.036,-0.085,-0.049,,,,,,,,,
-0.04,-0.085,-0.045,,,,,,,,,
-0.04,-0.085,-0.045,,,,,,,,,
-0.039,-0.085,-0.046,,,,,,,,,
-0.042,-0.085,-0.043,,,,,,,,,
-0.045,-0.085,-0.04,,,,,,,,,
-0.045,-0.085,-0.04,,,,,,,,,
-0.045,-0.085,-0.04,,,,,,,,,
-0.045,-0.085,-0.04,,,,,,,,,
-0.047,-0.085,-0.038,,,,,,,,,
-0.05,-0.085,-0.035,,,,,,,,,
-0.05,-0.085,-0.035,,,,,,,,,
-0.05,-0.085,-0.035,,,,,,,,,
-0.053,-0.085,-0.032,,,,,,,,,
-0.056,-0.085,-0.029,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.057,-0.084,-0.027,,,,,,,,,
-0.064,-0.087,-0.022,,,,,,,,,
-0.071,-0.09,-0.02,,,,,,,,,
-0.07,-0.09,-0.02,,,,,,,,,
-0.073,-0.09,-0.016,,,,,,,,,
-0.081,-0.093,-0.012,,,,,,,,,
-0.087,-0.096,-0.008,,,,,,,,,
-0.082,-0.095,-0.012,,,,,,,,,
-0.065,-0.095,-0.03,,,,,,,,,
-0.051,-0.099,-0.048,,,,,,,,,
-0.052,-0.1,-0.048,,,,,,,,,
-0.056,-0.1,-0.044,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.055,-0.1,-0.045,,,,,,,,,
-0.059,-0.1,-0.041,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.06,-0.101,-0.04,,,,,,,,,
-0.059,-0.098,-0.04,,,,,,,,,
-0.054,-0.095,-0.041,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.05,-0.095,-0.045,,,,,,,,,
-0.051,-0.095,-0.045,,,,,,,,,
-0.044,-0.092,-0.048,,,,,,,,,
-0.039,-0.089,-0.051,,,,,,,,,
-0.04,-0.09,-0.05,,,,,,,,,
-0.04,-0.09,-0.05,,,,,,,,,
-0.04,-0.09,-0.05,,,,,,,,,
-0.04,-0.09,-0.05,,,,,,,,,
-0.04,-0.09,-0.05,,,,,,,,,
-0.039,-0.09,-0.051,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.031,-0.086,-0.055,,,,,,,,,
-0.026,-0.085,-0.058,,,,,,,,,
-0.025,-0.085,-0.061,,,,,,,,,
-0.025,-0.085,-0.06,,,,,,,,,
-0.025,-0.085,-0.06,,,,,,,,,
-0.025,-0.085,-0.06,,,,,,,,,
-0.024,-0.084,-0.06,,,,,,,,,
-0.027,-0.087,-0.06,,,,,,,,,
-0.03,-0.09,-0.059,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.052,-0.107,-0.055,,,,,,,,,
-0.054,-0.109,-0.055,,,,,,,,,
-0.049,-0.104,-0.055,,,,,,,,,
-0.05,-0.105,-0.055,,,,,,,,,
-0.05,-0.105,-0.055,,,,,,,,,
-0.05,-0.105,-0.055,,,,,,,,,
-0.051,-0.106,-0.055,,,,,,,,,
-0.048,-0.103,-0.055,,,,,,,,,
-0.045,-0.1,-0.055,,,,,,,,,
-0.045,-0.1,-0.055,,,,,,,,,
-0.045,-0.1,-0.055,,,,,,,,,
-0.045,-0.1,-0.055,,,,,,,,,
-0.045,-0.1,-0.055,,,,,,,,,
-0.045,-0.1,-0.055,,,,,,,,,
-0.045,-0.1,-0.055,,,,,,,,,
-0.041,-0.096,-0.055,,,,,,,,,
-0.04,-0.095,-0.055,,,,,,,,,
-0.04,-0.095,-0.055,,,,,,,,,
-0.04,-0.095,-0.055,,,,,,,,,
-0.04,-0.095,-0.055,,,,,,,,,
-0.04,-0.095,-0.055,,,,,,,,,
-0.037,-0.092,-0.055,,,,,,,,,
-0.034,-0.089,-0.055,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.038,-0.09,-0.052,,,,,,,,,
-0.041,-0.09,-0.049,,,,,,,,,
-0.04,-0.09,-0.05,,,,,,,,,
-0.04,-0.09,-0.05,,,,,,,,,
-0.04,-0.09,-0.05,,,,,,,,,
-0.04,-0.09,-0.05,,,,,,,,,
-0.04,-0.09,-0.05,,,,,,,,,
-0.041,-0.09,-0.049,,,,,,,,,
-0.045,-0.09,-0.045,,,,,,,,,
-0.045,-0.09,-0.045,,,,,,,,,
-0.045,-0.09,-0.045,,,,,,,,,
-0.045,-0.09,-0.045,,,,,,,,,
-0.045,-0.09,-0.045,,,,,,,,,
-0.045,-0.09,-0.045,,,,,,,,,
-0.043,-0.088,-0.045,,,,,,,,,
-0.061,-0.103,-0.042,,,,,,,,,
-0.069,-0.109,-0.039,,,,,,,,,
-0.058,-0.098,-0.04,,,,,,,,,
-0.055,-0.095,-0.04,,,,,,,,,
-0.052,-0.092,-0.04,,,,,,,,,
-0.044,-0.084,-0.04,,,,,,,,,
-0.037,-0.077,-0.041,,,,,,,,,
-0.036,-0.074,-0.038,,,,,,,,,
-0.04,-0.07,-0.03,,,,,,,,,
-0.036,-0.062,-0.026,,,,,,,,,
-0.034,-0.053,-0.019,,,,,,,,,
-0.035,-0.048,-0.013,,,,,,,,,
-0.035,-0.043,-0.008,,,,,,,,,
-0.035,-0.035,0.0,,,,,,,,,
-0.032,-0.027,0.005,,,,,,,,,
-0.024,-0.022,0.002,,,,,,,,,
-0.017,-0.018,-0.001,,,,,,,,,
-0.015,-0.015,0.0,,,,,,,,,
-0.015,-0.015,0.0,,,,,,,,,
-0.011,-0.016,-0.004,,,,,,,,,
-0.006,-0.012,-0.005,,,,,,,,,
-0.005,-0.01,-0.005,,,,,,,,,
-0.005,-0.01,-0.005,,,,,,,,,
-0.005,-0.01,-0.005,,,,,,,,,
-0.013,-0.022,-0.009,,,,,,,,,
-0.021,-0.032,-0.011,,,,,,,,,
-0.028,-0.038,-0.009,,,,,,,,,
-0.029,-0.04,-0.011,,,,,,,,,
-0.025,-0.04,-0.015,,,,,,,,,
-0.024,-0.04,-0.015,,,,,,,,,
-0.028,-0.043,-0.015,,,,,,,,,
-0.032,-0.046,-0.014,,,,,,,,,
-0.026,-0.044,-0.017,,,,,,,,,
-0.015,-0.045,-0.03,,,,,,,,,
-0.032,-0.07,-0.038,,,,,,,,,
-0.032,-0.081,-0.049,,,,,,,,,
-0.019,-0.08,-0.06,,,,,,,,,
-0.015,-0.08,-0.066,,,,,,,,,
-0.015,-0.08,-0.065,,,,,,,,,
-0.015,-0.08,-0.065,,,,,,,,,
-0.016,-0.081,-0.065,,,,,,,,,
-0.013,-0.078,-0.065,,,,,,,,,
-0.018,-0.083,-0.065,,,,,,,,,
-0.035,-0.1,-0.065,,,,,,,,,
-0.04,-0.105,-0.065,,,,,,,,,
-0.04,-0.105,-0.065,,,,,,,,,
-0.04,-0.105,-0.065,,,,,,,,,
-0.041,-0.106,-0.065,,,,,,,,,
-0.045,-0.11,-0.065,,,,,,,,,
-0.046,-0.11,-0.065,,,,,,,,,
-0.041,-0.109,-0.068,,,,,,,,,
-0.043,-0.113,-0.071,,,,,,,,,
-0.052,-0.122,-0.07,,,,,,,,,
-0.05,-0.125,-0.075,,,,,,,,,
-0.026,-0.117,-0.091,,,,,,,,,
-0.009,-0.111,-0.102,,,,,,,,,
0.0,-0.108,-0.108,,,,,,,,,
0.005,-0.104,-0.109,,,,,,,,,
0.0,-0.1,-0.1,,,,,,,,,
-0.004,-0.096,-0.092,,,,,,,,,
-0.007,-0.091,-0.084,,,,,,,,,
-0.016,-0.092,-0.076,,,,,,,,,
-0.027,-0.095,-0.068,,,,,,,,,
-0.035,-0.095,-0.06,,,,,,,,,
-0.043,-0.099,-0.056,,,,,,,,,
-0.047,-0.1,-0.052,,,,,,,,,
-0.039,-0.102,-0.063,,,,,,,,,
-0.029,-0.105,-0.076,,,,,,,,,
-0.035,-0.105,-0.07,,,,,,,,,
-0.04,-0.109,-0.07,,,,,,,,,
-0.04,-0.11,-0.07,,,,,,,,,
-0.04,-0.11,-0.07,,,,,,,,,
-0.04,-0.11,-0.07,,,,,,,,,
-0.04,-0.11,-0.07,,,,,,,,,
-0.04,-0.11,-0.07,,,,,,,,,
-0.038,-0.108,-0.07,,,,,,,,,
-0.048,-0.118,-0.07,,,,,,,,,
-0.061,-0.131,-0.07,,,,,,,,,
-0.055,-0.125,-0.07,,,,,,,,,
-0.054,-0.124,-0.07,,,,,,,,,
-0.056,-0.126,-0.07,,,,,,,,,
-0.053,-0.123,-0.07,,,,,,,,,
-0.05,-0.12,-0.07,,,,,,,,,
-0.05,-0.12,-0.07,,,,,,,,,
-0.05,-0.12,-0.07,,,,,,,,,
-0.047,-0.117,-0.07,,,,,,,,,
-0.044,-0.114,-0.07,,,,,,,,,
-0.045,-0.115,-0.07,,,,,,,,,
-0.045,-0.115,-0.07,,,,,,,,,
-0.041,-0.111,-0.07,,,,,,,,,
-0.039,-0.109,-0.07,,,,,,,,,
-0.041,-0.111,-0.07,,,,,,,,,
-0.039,-0.109,-0.07,,,,,,,,,
-0.035,-0.105,-0.07,,,,,,,,,
-0.034,-0.105,-0.07,,,,,,,,,
-0.038,-0.106,-0.067,,,,,,,,,
-0.04,-0.103,-0.063,,,,,,,,,
-0.04,-0.1,-0.059,,,,,,,,,
-0.045,-0.1,-0.055,,,,,,,,,
-0.05,-0.1,-0.051,,,,,,,,,
-0.049,-0.097,-0.047,,,,,,,,,
-0.052,-0.094,-0.042,,,,,,,,,
-0.045,-0.095,-0.05,,,,,,,,,
-0.02,-0.095,-0.075,,,,,,,,,
-0.021,-0.093,-0.072,,,,,,,,,
-0.04,-0.11,-0.069,,,,,,,,,
-0.056,-0.125,-0.068,,,,,,,,,
-0.06,-0.125,-0.064,,,,,,,,,
-0.06,-0.125,-0.065,,,,,,,,,
-0.06,-0.126,-0.066,,,,,,,,,
-0.06,-0.122,-0.062,,,,,,,,,
-0.076,-0.136,-0.06,,,,,,,,,
-0.09,-0.149,-0.059,,,,,,,,,
-0.075,-0.13,-0.055,,,,,,,,,
-0.063,-0.118,-0.055,,,,,,,,,
-0.048,-0.102,-0.055,,,,,,,,,
-0.033,-0.091,-0.058,,,,,,,,,
0.005,-0.073,-0.077,,,,,,,,,
0.085,-0.035,-0.12,,,,,,,,,
0.164,-0.005,-0.169,,,,,,,,,
0.257,0.045,-0.211,,,,,,,,,
0.365,0.102,-0.263,,,,,,,,,
0.452,0.163,-0.289,,,,,,,,,
0.505,0.25,-0.255,,,,,,,,,
0.577,0.348,-0.229,,,,,,,,,
0.605,0.425,-0.18,,,,,,,,,
0.606,0.482,-0.124,,,,,,,,,
0.621,0.551,-0.07,,,,,,,,,
0.625,0.62,-0.005,,,,,,,,,
0.552,0.608,0.056,,,,,,,,,
0.472,0.587,0.115,,,,,,,,,
0.365,0.57,0.205,,,,,,,,,
0.307,0.56,0.252,,,,,,,,,
0.355,0.545,0.19,,,,,,,,,
0.301,0.441,0.14,,,,,,,,,
0.193,0.289,0.096,,,,,,,,,
0.108,0.15,0.042,,,,,,,,,
0.061,0.065,0.005,,,,,,,,,
0.03,0.03,0.0,,,,,,,,,
0.0,-0.008,-0.008,,,,,,,,,
-0.01,-0.026,-0.016,,,,,,,,,
-0.012,-0.036,-0.024,,,,,,,,,
-0.015,-0.047,-0.032,,,,,,,,,
-0.015,-0.055,-0.04,,,,,,,,,
-0.023,-0.067,-0.044,,,,,,,,,
-0.031,-0.079,-0.048,,,,,,,,,
-0.039,-0.09,-0.05,,,,,,,,,
-0.046,-0.096,-0.05,,,,,,,,,
-0.05,-0.1,-0.05,,,,,,,,,
-0.054,-0.104,-0.05,,,,,,,,,
-0.059,-0.109,-0.05,,,,,,,,,
-0.06,-0.11,-0.05,,,,,,,,,
-0.061,-0.111,-0.05,,,,,,,,,
-0.065,-0.115,-0.05,,,,,,,,,
-0.061,-0.115,-0.054,,,,,,,,,
-0.063,-0.118,-0.055,,,,,,,,,
-0.065,-0.12,-0.055,,,,,,,,,
-0.066,-0.121,-0.055,,,,,,,,,
-0.07,-0.125,-0.055,,,,,,,,,
-0.071,-0.126,-0.055,,,,,,,,,
-0.067,-0.122,-0.055,,,,,,,,,
-0.065,-0.12,-0.055,,,,,,,,,
-0.064,-0.12,-0.056,,,,,,,,,
-0.06,-0.12,-0.06,,,,,,,,,
-0.06,-0.12,-0.06,,,,,,,,,
-0.06,-0.12,-0.06,,,,,,,,,
-0.06,-0.12,-0.06,,,,,,,,,
-0.06,-0.12,-0.06,,,,,,,,,
-0.06,-0.12,-0.06,,,,,,,,,
-0.06,-0.12,-0.06,,,,,,,,,
-0.06,-0.12,-0.06,,,,,,,,,
-0.06,-0.12,-0.06,,,,,,,,,
-0.061,-0.12,-0.059,,,,,,,,,
-0.065,-0.12,-0.055,,,,,,,,,
-0.065,-0.12,-0.055,,,,,,,,,
-0.065,-0.12,-0.055,,,,,,,,,
-0.065,-0.12,-0.055,,,,,,,,,
-0.066,-0.12,-0.054,,,,,,,,,
-0.07,-0.12,-0.05,,,,,,,,,
-0.07,-0.12,-0.05,,,,,,,,,
-0.07,-0.12,-0.05,,,,,,,,,
-0.07,-0.12,-0.05,,,,,,,,,
-0.071,-0.12,-0.049,,,,,,,,,
-0.075,-0.12,-0.045,,,,,,,,,
-0.075,-0.12,-0.045,,,,,,,,,
-0.075,-0.12,-0.045,,,,,,,,,
-0.076,-0.12,-0.045,,,,,,,,,
-0.074,-0.119,-0.045,,,,,,,,,
-0.07,-0.115,-0.045,,,,,,,,,
-0.074,-0.115,-0.041,,,,,,,,,
-0.076,-0.115,-0.04,,,,,,,,,
-0.075,-0.115,-0.04,,,,,,,,,
-0.075,-0.115,-0.04,,,,,,,,,
-0.075,-0.115,-0.04,,,,,,,,,
-0.075,-0.111,-0.036,,,,,,,,,
-0.075,-0.11,-0.035,,,,,,,,,
-0.075,-0.11,-0.035,,,,,,,,,
-0.075,-0.11,-0.035,,,,,,,,,
-0.075,-0.11,-0.035,,,,,,,,,
-0.074,-0.11,-0.035,,,,,,,,,
-0.079,-0.111,-0.032,,,,,,,,,
-0.079,-0.108,-0.029,,,,,,,,,
-0.074,-0.105,-0.03,,,,,,,,,
-0.075,-0.105,-0.03,,,,,,,,,
-0.075,-0.105,-0.03,,,,,,,,,
-0.075,-0.105,-0.03,,,,,,,,,
-0.075,-0.105,-0.03,,,,,,,,,
-0.074,-0.104,-0.03,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.067,-0.097,-0.03,,,,,,,,,
-0.062,-0.092,-0.03,,,,,,,,,
-0.06,-0.09,-0.03,,,,,,,,,
-0.06,-0.09,-0.03,,,,,,,,,
-0.056,-0.086,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.054,-0.084,-0.03,,,,,,,,,
-0.048,-0.079,-0.031,,,,,,,,,
-0.04,-0.075,-0.035,,,,,,,,,
-0.035,-0.075,-0.04,,,,,,,,,
-0.034,-0.072,-0.038,,,,,,,,,
-0.022,-0.07,-0.048,,,,,,,,,
-0.008,-0.069,-0.061,,,,,,,,,
-0.005,-0.06,-0.055,,,,,,,,,
0.003,-0.052,-0.055,,,,,,,,,
0.011,-0.044,-0.055,,,,,,,,,
0.019,-0.036,-0.055,,,,,,,,,
0.027,-0.028,-0.055,,,,,,,,,
0.035,-0.02,-0.055,,,,,,,,,
0.039,-0.016,-0.055,,,,,,,,,
0.045,-0.01,-0.055,,,,,,,,,
0.055,0.0,-0.055,,,,,,,,,
0.061,0.006,-0.055,,,,,,,,,
0.065,0.01,-0.055,,,,,,,,,
0.073,0.018,-0.055,,,,,,,,,
0.081,0.026,-0.055,,,,,,,,,
0.088,0.033,-0.055,,,,,,,,,
0.09,0.035,-0.055,,,,,,,,,
0.085,0.03,-0.055,,,,,,,,,
0.083,0.028,-0.055,,,,,,,,,
0.1,0.045,-0.055,,,,,,,,,
0.115,0.06,-0.055,,,,,,,,,
0.115,0.06,-0.055,,,,,,,,,
0.115,0.06,-0.055,,,,,,,,,
0.119,0.064,-0.055,,,,,,,,,
